site_id,floor,path_id,file_path,split
5d27099f03f801723c32511d,F2,5dbb9a5102e97f00064c5270,/kaggle/input/competitions/indoor-location-navigation/train/5d27099f03f801723c32511d/F2/5dbb9a5102e97f00064c5270.txt,train
5d27099f03f801723c32511d,F2,5dbb9a52d749ad00067c7336,/kaggle/input/competitions/indoor-location-navigation/train/5d27099f03f801723c32511d/F2/5dbb9a52d749ad00067c7336.txt,train
5d27099f03f801723c32511d,F2,5dbb9a5302e97f00064c5272,/kaggle/input/competitions/indoor-location-navigation/train/5d27099f03f801723c32511d/F2/5dbb9a5302e97f00064c5272.txt,train
5d27099f03f801723c32511d,F2,5dbb9a53d749ad00067c7338,/kaggle/input/competitions/indoor-location-navigation/train/5d27099f03f801723c32511d/F2/5dbb9a53d749ad00067c7338.txt,train
5d27099f03f801723c32511d,F2,5dbb9a5402e97f00064c5274,/kaggle/input/competitions/indoor-location-navigation/train/5d27099f03f801723c32511d/F2/5dbb9a5402e97f00064c5274.txt,train
5d27099f03f801723c32511d,F2,5dbb9a54d749ad00067c733a,/kaggle/input/competitions/indoor-location-navigation/train/5d27099f03f801723c32511d/F2/5dbb9a54d749ad00067c733a.txt,train
5d27099f03f801723c32511d,F2,5dbb9a54d749ad00067c733c,/kaggle/input/competitions/indoor-location-navigation/train/5d27099f03f801723c32511d/F2/5dbb9a54d749ad00067c733c.txt,train
5d27099f03f801723c32511d,F2,5dbb9a5502e97f00064c5277,/kaggle/input/competitions/indoor-location-navigation/train/5d27099f03f801723c32511d/F2/5dbb9a5502e97f00064c5277.txt,train
5d27099f03f801723c32511d,F2,5dbb9a55d749ad00067c733e,/kaggle/input/competitions/indoor-location-navigation/train/5d27099f03f801723c32511d/F2/5dbb9a55d749ad00067c733e.txt,train
5d27099f03f801723c32511d,F2,5dbb9bb702e97f00064c5285,/kaggle/input/competitions/indoor-location-navigation/train/5d27099f03f801723c32511d/F2/5dbb9bb702e97f00064c5285.txt,train
5d27099f03f801723c32511d,F2,5dbb9bb7d749ad00067c7350,/kaggle/input/competitions/indoor-location-navigation/train/5d27099f03f801723c32511d/F2/5dbb9bb7d749ad00067c7350.txt,train
5d27099f03f801723c32511d,F2,5dbb9bb802e97f00064c5287,/kaggle/input/competitions/indoor-location-navigation/train/5d27099f03f801723c32511d/F2/5dbb9bb802e97f00064c5287.txt,train
5d27099f03f801723c32511d,F2,5dbb9bb9d749ad00067c7352,/kaggle/input/competitions/indoor-location-navigation/train/5d27099f03f801723c32511d/F2/5dbb9bb9d749ad00067c7352.txt,train
5d27099f03f801723c32511d,F2,5dbb9bba02e97f00064c5289,/kaggle/input/competitions/indoor-location-navigation/train/5d27099f03f801723c32511d/F2/5dbb9bba02e97f00064c5289.txt,train
