site_id,floor,path_id,n_wifi_scans,n_waypoints,n_interpolated_scans,interpolation_coverage,mean_displacement_m,median_displacement_m,p90_displacement_m,fraction_over_1m,waypoint_assignments,unique_scan_assignments,duplicate_binding_ratio,unmatched_waypoints
5d27099f03f801723c32511d,B1,5dce74b25516ad00065f033b,32,3,13,0.40625,1.8840980872965174,1.8419685452988899,3.339738878608614,0.8461538461538461,3,3,0.0,0
5d27099f03f801723c32511d,B1,5dce74b35516ad00065f033d,32,9,30,0.9375,1.771340687955693,1.6463993543832793,3.5128994980612855,0.6333333333333333,9,9,0.0,0
5d27099f03f801723c32511d,B1,5dce74b494e49000061250c6,38,8,37,0.9736842105263158,1.606921987531973,1.2648326823554954,3.1374628174427985,0.5405405405405406,8,8,0.0,0
5d27099f03f801723c32511d,B1,5dce74b594e49000061250c8,23,4,22,0.9565217391304348,1.673578898380307,1.3077080570681812,3.28420898641251,0.6818181818181818,4,4,0.0,0
5d27099f03f801723c32511d,B1,5dce74b75516ad00065f033f,60,8,58,0.9666666666666667,1.6329918852968925,1.137148609824533,3.6863265837140085,0.5689655172413793,8,8,0.0,0
5d27099f03f801723c32511d,B1,5dce74b95516ad00065f0341,106,13,102,0.9622641509433962,1.8716025697411038,1.615661519860479,3.777406934787661,0.6764705882352942,13,13,0.0,0
5d27099f03f801723c32511d,B1,5dce74bb94e49000061250ca,74,10,73,0.9864864864864865,1.7815973644921088,1.6469973368873134,3.5463923305352303,0.6301369863013698,10,10,0.0,0
5d27099f03f801723c32511d,B1,5dce74bc5516ad00065f0343,34,5,30,0.8823529411764706,1.886424377747479,1.6280723630426817,3.7948012479994238,0.6666666666666666,5,5,0.0,0
5d27099f03f801723c32511d,B1,5dce74be5516ad00065f0346,85,11,76,0.8941176470588236,1.976182650624365,1.629112181716681,4.469571020443114,0.631578947368421,11,11,0.0,0
5d27099f03f801723c32511d,B1,5dce74c05516ad00065f0348,32,6,31,0.96875,1.9652939672875052,1.2601523611414411,4.579655711075118,0.6129032258064516,6,6,0.0,0
5d27099f03f801723c32511d,B1,5dce74c35516ad00065f034a,159,12,158,0.9937106918238994,1.9605641836014442,1.648779463631362,4.167684201373812,0.6962025316455697,12,12,0.0,0
5d27099f03f801723c32511d,B1,5dce86e794e490000612518a,25,4,19,0.76,2.718889784523585,2.669343311880754,4.980527505880603,0.8421052631578947,4,4,0.0,0
5d27099f03f801723c32511d,B1,5dce933794e490000612521c,16,4,15,0.9375,1.8610380321838158,1.4213420266598416,4.120564410902838,0.6,4,4,0.0,0
5d27099f03f801723c32511d,F1,5dce761694e49000061250dc,23,7,21,0.9130434782608695,1.1218027275314004,0.5375489674295212,3.257101997416612,0.3333333333333333,7,7,0.0,0
5d27099f03f801723c32511d,F1,5dce76185516ad00065f0360,17,5,13,0.7647058823529411,0.7537009877158004,0.5898885723341154,1.8647313426546417,0.23076923076923078,5,5,0.0,0
5d27099f03f801723c32511d,F1,5dce76255516ad00065f0363,62,13,61,0.9838709677419355,2.0060791019648643,1.873106967465513,3.852464664125185,0.7704918032786885,13,13,0.0,0
5d27099f03f801723c32511d,F1,5dce762994e49000061250df,12,4,10,0.8333333333333334,2.082235216482596,1.899479613244874,3.8703786599973027,0.8,4,3,0.25,0
5d27099f03f801723c32511d,F1,5dce762c94e49000061250e1,36,7,34,0.9444444444444444,3.023257022601703,2.9731726106744003,5.648790458648807,0.8529411764705882,7,7,0.0,0
5d27099f03f801723c32511d,F1,5dce763194e49000061250e3,61,9,58,0.9508196721311475,2.7653898244514377,2.1853174305311867,5.419376296275662,0.8103448275862069,9,9,0.0,0
5d27099f03f801723c32511d,F1,5dce76355516ad00065f0366,44,13,44,1.0,1.7815515208976436,1.5249021626027224,3.3536564751623663,0.6590909090909091,13,12,0.07692307692307693,0
5d27099f03f801723c32511d,F1,5dce763d94e49000061250e6,36,6,35,0.9722222222222222,2.7029601192148736,2.3438246340615083,5.572126071617189,0.7142857142857143,6,6,0.0,0
5d27099f03f801723c32511d,F1,5dce763f94e49000061250e8,36,7,34,0.9444444444444444,2.0187204815274193,1.8589952295459866,3.827269120537567,0.7647058823529411,7,7,0.0,0
5d27099f03f801723c32511d,F1,5dce764494e49000061250ea,76,17,74,0.9736842105263158,1.9644129551560021,1.4835858815485237,4.63015091481692,0.6756756756756757,17,17,0.0,0
5d27099f03f801723c32511d,F1,5dce764794e49000061250ec,37,5,30,0.8108108108108109,1.613319171973611,1.2742646527102175,3.5928762436030146,0.5333333333333333,5,5,0.0,0
5d27099f03f801723c32511d,F1,5dce764794e49000061250ee,3,2,3,1.0,0.9150099921440665,0.9183814364776859,1.5608438686920307,0.3333333333333333,1,1,0.0,1
